Date,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
2018:02,1.906,2.02,2.0182,2.1234,2.2,2.224927903170357,2.1600291241841036,2.0913615682982996,2.0773740030567156,2.16160534775878,3.507659483441028,3.309258644908474,2.013957028142488,-0.3120462855469075,3.1474720358644737,2.224927903170357,1.9750701440213763,2.097460834456687,2.3194299113878083,2.2583026737815617,,,,,,1.6559922147522999,1.6559922147522999,2.148827246813112,2.1946309627178806,2.195489598952638
2018:03,2.3,2.2012,2.3,2.175,2.1795,1.8085063722946604,1.9051510999496672,2.124318307671421,2.0918211591130325,2.0802462318665653,1.6559922147522999,3.507659483441028,3.3092586449084735,2.013957028142488,-0.3120462855469075,1.8085063722946604,1.9408895538945181,2.0646161096557565,2.0975570478436043,1.8307144171585106,,,,,,1.9955849459563524,2.01036187396455,2.0777886462317596,1.6317720959637683,1.6170823201889561
2018:04,2.3363,2.3,2.29,2.227,2.0998,2.162385320817259,2.141261777459506,2.0342903608705316,2.117444062213679,2.091910370093283,1.9955849459563522,1.6559922147522999,3.507659483441028,3.309258644908473,2.013957028142488,2.162385320817259,2.1906921419390755,2.0226536279624403,2.0124984142874744,2.087904937935922,,,,,,1.4859332182080243,1.4859332182080243,1.3000140635868185,1.572083118004164,1.6384538579996777
2019:01,1.1,2.4134,2.3756,2.3,2.3,1.9763967109048761,2.1467784842670463,2.1977243797383315,2.1134862603694904,2.116120786656636,1.4859332182080243,1.995584945956352,1.6559922147522999,3.507659483441028,3.3092586449084727,1.9763967109048761,2.1349370912766954,2.163671274754045,1.998910811106298,2.245977406296624,,,,,,0.8769561911148527,0.8769561911148527,0.918072423911509,0.7103917544370342,1.07217055267681
2019:02,2.4061,2.3,2.3,2.0605,2.2477,1.8597982033187357,2.2074482432292126,2.1135766500064324,2.1582966120292313,2.1110627620469353,0.8769561911148527,1.4859332182080243,1.9955849459563517,1.6559922147522999,3.507659483441028,1.8597982033187357,2.2076712440229493,2.1289002026949024,2.1672305061568045,2.277535197807019,,,,,,2.917963056264994,2.917963056264994,3.02708462684107,3.5012793344673776,2.971414022993324
2019:03,1.88,2.1239,2.3073,2.35,2.3,2.5440130290132603,2.24968708224291,2.178136681194567,2.107608203465614,2.139703312221976,2.917963056264994,0.8769561911148527,1.4859332182080243,1.9955849459563515,1.6559922147522999,2.5440130290132603,2.2441270330003205,2.1578292632398144,2.128764843336556,2.0807365641162936,,,,,,1.789210516197537,1.8212940043463632,1.2879578390583735,1.4841988539314732,1.3260479463592212
2019:04,1.8,2.088,2.1,2.2,2.4,1.8287194486554177,2.050423045508427,2.1682015864089714,2.1269170907478654,2.1118411123347895,1.789210516197537,2.917963056264994,0.8769561911148527,1.4859332182080243,1.9955849459563513,1.8287194486554177,1.9755403039549402,2.1382963360547933,2.1657481636648668,2.110546426339159,,,,,,2.373584652403893,2.373584652403893,2.6298446641072726,2.458221060273935,2.839173621641944
2020:01,2.0,2.2,2.0053,2.1183,2.2532,2.1649834033434896,2.054235427585851,1.9887645942554386,2.0704170030435485,2.118538330044779,2.373584652403893,1.789210516197537,2.917963056264994,0.8769561911148527,1.4859332182080243,2.1649834033434896,2.1030683024856156,2.040253479228598,2.177790255394251,2.0539478764737664,,,,,,1.2082854354611428,1.2082854354611428,0.9970112297843059,1.2983046281263677,1.4497856832063283
2020:02,-2.5789,2.0,2.1,2.0,2.0,1.738887456158071,2.0012491287550125,2.1068549858280603,2.0669795659410832,2.0590278959925628,1.2082854354611428,2.373584652403893,1.789210516197537,2.917963056264994,0.8769561911148527,1.738887456158071,1.9926089041372332,2.080370214543137,2.0231077399612816,1.9459237598964823,,,,,,-3.529908086200617,-3.529908086200617,-3.101368341119237,-3.3590263212066485,-3.8466255100009117
2020:03,2.3365,1.5,2.2,2.1538,2.0541,0.5131563294273707,2.108470513955151,1.998918472798803,2.0779372880581124,2.099997384458444,-3.529908086200617,1.2082854354611428,2.373584652403893,1.789210516197537,2.917963056264994,0.5131563294273707,2.136505146049787,2.016835189923685,2.089164052705741,2.166414972401585,,,,,,5.158239775049922,4.679807302106753,4.793857392329293,4.641807860305369,4.651388226000752
2020:04,2.0082,1.6118,1.937,2.2331,2.1,3.690581450582057,2.6741874393924685,2.103417775665403,2.0304790443084464,2.060203264088636,5.158239775049921,-3.529908086200617,1.2082854354611428,2.373584652403893,1.789210516197537,3.690581450582057,2.7493119908504204,2.0697100505663832,2.0155583085226527,2.0245146221956136,,,,,,2.4297535196298625,2.4297535196298625,2.2408297443123892,2.814818922970219,2.9169359393762084
2021:01,2.4962,2.0,1.7679,2.0,2.2,1.4590758442914904,1.6087614806415336,2.42558392318069,2.029796713135755,2.0392882196650577,2.4297535196298625,5.15823977504992,-3.529908086200617,1.2082854354611428,2.373584652403893,1.4590758442914904,1.4013241698654424,2.2222540777949655,2.0777535601560517,2.0596210378486806,,,,,,3.7483575303608685,3.7483575303608685,4.118668692727145,4.1849980622265415,4.034753542206282
2021:02,3.2,2.1321,2.0,1.6,2.0,2.181971504605349,1.700196233280779,1.4923345726147412,1.8935889010275235,2.0111225102508397,3.7483575303608685,2.4297535196298625,5.158239775049919,-3.529908086200617,1.2082854354611428,2.181971504605349,1.7924428224799542,1.6363881566170424,2.3952485665887666,1.9188822264077017,,,,,,8.44496603319489,8.44496603319489,8.187128415393019,7.51912787927429,7.632155329330681
